"BEVOEGD GEZAG NUMMER","BEVOEGD GEZAG NAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","KVK-NUMMER","ADMINISTRATIEKANTOORNUMMER"
"10249","Gemeente Emmen","Raadhuisplein","1","7811AP","EMMEN","0114","EMMEN","Openbaar","0591685555","www.openbaaronderwijsemmen.nl","Postbus","30001","7800RA","EMMEN","01181973",""
"10867","Gemeente Terschelling","Burg van Heusdenweg","10-A","8881EB","WEST-TERSCHELLING","0093","TERSCHELLING","Openbaar","0562446244","www.terschelling.nl","Burg van Heusdenweg","10-A","8881EB","WEST-TERSCHELLING","","951"
"10925","Gemeente Westerwolde","Dorpsstraat","1","9551AB","SELLINGEN","1950","WESTERWOLDE","Openbaar","0599320220","www.vlagtwedde.nl","Postbus","14","9550AA","SELLINGEN","01173377","706"
"11711","Gemeente Noordenveld","Groene Zoom","16","9301SJ","RODEN","1699","NOORDENVELD","Openbaar","0504065780","www.onderwijs-noordenveld.nl","Postbus","21","9300AA","RODEN","","947"
"11764","Gemeente Eijsden-Margraten","Amerikaplein","1","6269DA","MARGRATEN","1903","EIJSDEN-MARGRATEN","Openbaar","0434093055","www.eijsden-margraten.nl","Postbus","196","6400AD","HEERLEN","51643324","401"
"13622","Stichting Openbaar Primair Onderwijs Haarlemmermeer","Wilhelminalaan","55","2132DV","HOOFDDORP","0394","HAARLEMMERMEER","Openbaar","0235640999","www.sopoh.eu","Wilhelminalaan","55","2132DV","HOOFDDORP","34107734",""
"13662","Stichting Openbaar Onderwijs Present","De Middend","104-108","1613KZ","GROOTEBROEK","0532","STEDE BROEC","Openbaar","0228523857","www.openbaaronderwijspresent.nl","De Middend","104-108","1613KZ","GROOTEBROEK","37087297","222"
"13682","Openbaar Primair Onderwijs Oegstgeest","Terweeweg","106","2341CV","OEGSTGEEST","0579","OEGSTGEEST","Openbaar","0715150823","www.opoo.nl","Postbus","1194","2340BD","OEGSTGEEST","53744411","953"
"13683","Schoolbestuur voor primair en voortgezet onderwijs tussen Lauwers en Eems-stg","Noorderstraat","13","9989AA","WARFFUM","1651","EEMSMOND","Openbaar","0595424955","www.lauwerseneems.nl","Postbus","10","9989ZG","WARFFUM","02068659",""
"13839","Bestuurscommissie Master Frankeskoalle voor Basisonderwijs te Eernewoude","Zetveld","38","9202LM","DRACHTEN","0090","SMALLINGERLAND","Openbaar","0651390690","","Postbus","210","9200AE","DRACHTEN","","780"
"13878","Bestuurscommissie Openbaar Basisonderwijs Ameland","Jelmeraweg","1","9162EA","BALLUM","0060","AMELAND","Openbaar","0519555555","www.opo-ameland.nl","Postbus","22","9160AA","HOLLUM","","951"
"20183","Verenig. voor Chr. Onderwijs op Reformatorische Grondslag","Anna van Burenlaan","24","2404GM","ALPHEN AAN DEN RIJN","0484","ALPHEN AAN DEN RIJN","Reformatorisch","0172472352","","Anna van Burenlaan","24","2404GM","ALPHEN AAN DEN RIJN","40446965","165"
"20210","Stichting Matthijsje","Oosterstreek","23","8388NA","OOSTERSTREEK","0098","WESTSTELLINGWERF","Algemeen bijzonder","0561432690","www.schoolmatthijsje.nl","Postbus","8","8390AA","NOORDWOLDE FR","41002191","940"
"20243","Ver. Stg. Ned.-Herv. Chr. Scholen te Waddinxveen","Roemer Visscherstraat","21","2741BC","WADDINXVEEN","0627","WADDINXVEEN","Protestants-Christelijk","0182617846","www.nhsbethel.nl","Roemer Visscherstraat","21","2741BC","WADDINXVEEN","40464152","165"
"20252","Vereniging Jenaplanonderwijs Oudewater","De Cope","26","3421XL","OUDEWATER","0589","OUDEWATER","Algemeen bijzonder","0348564490","www.klavertje4oudewater.nl","Postbus","80","3360AB","SLIEDRECHT","40480007","136"
"20281","Stichting Lucas Onderwijs","Saffierhorst","105","2592GK","'S-GRAVENHAGE","0518","S GRAVENHAGE","Samenwerking PC, RK","0703001100","www.lucasonderwijs.nl","Postbus","93231","2509AE","'S-GRAVENHAGE","41158916","034"
"20450","Ver. Bas.ond. Op Ger. Grondsl. te Aagtekerke","Prelaatweg","22","4363NE","AAGTEKERKE","0717","VEERE","Protestants-Christelijk","0118582693","www.versluijsschool.nl","Prelaatweg","22","4363NE","AAGTEKERKE","40309346","165"
"20671","Westlandse Stichting Katholiek Onderwijs (WSKO)","De Ruijtbaan","83","2685RS","POELDIJK","1783","WESTLAND","Rooms-Katholiek","0174280446","www.wsko.nl","De Ruijtbaan","83","2685RS","POELDIJK","41145292",""
"20905","Ver. voor Chr. Basis-Onderwijs Instituut Schreuder","Van de Veldestraat","10","1071CW","AMSTERDAM","0363","AMSTERDAM","Protestants-Christelijk","0206623388","","Van de Veldestraat","10","1071CW","AMSTERDAM","40531142","222"
"20970","Amsterdamse Schoolver. v. Opv. en Onderwijs 'A.S.V.O.'","Frederiksplein","37","1017XL","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206400982","","Frederiksplein","37","1017XL","AMSTERDAM","40531595","222"
"21464","Stichting Joodse Scholengem.sch. J.B.O.","Noordbrabantstraat","15","1083BE","AMSTERDAM","0363","AMSTERDAM","Joods","0206444191","www.jbo.nl","Postbus","87058","1080JB","AMSTERDAM","41198667","222"
"21478","Ver. tot Verstr. van Onderwijs op Gereformeerde Grondslag","Duikerlaan","402","2903AC","CAPELLE AAN DEN IJSSEL","0502","CAPELLE AAN DEN IJSSEL","Protestants-Christelijk","0104582706","www.ebenhaezer-capelle.nl","Postbus","66","2900AB","CAPELLE AAN DEN IJSSEL","40341089","165"
"22091","Stichting Openbaar Onderwijs Velswijk","Decanijeweg","3","7251BP","VORDEN","1876","BRONCKHORST","Openbaar","0575462573","","Decanijeweg","3","7251BP","VORDEN","63407280","744"
"22622","Ver voor Christ. Basisonderw. Laat de kinderen tot Mij komen","Verlengde Kerkweg","23","2985AZ","RIDDERKERK","0597","RIDDERKERK","Protestants-Christelijk","0180423525","www.rehobothschool-ridderkerk.nl","Verlengde Kerkweg","23","2985AZ","RIDDERKERK","40342524","165"
"22725","Stichting voor Interconfess. (rk/pc) en Katholiek Onderwijs","Nassaulaan","72","3116EX","SCHIEDAM","0606","SCHIEDAM","Samenwerking PC, RK","0104264830","www.siko.nl","Nassaulaan","72","3116EX","SCHIEDAM","41141191","136"
"22765","Ver. Verstrekken Onderwijs op Gereformeerde Grondslag Lisse","Schoolstraat","11-A","2161HB","LISSE","0553","LISSE","Protestants-Christelijk","0252413099","www.deakkerlisse.nl","Schoolstraat","11-A","2161HB","LISSE","40445510","165"
"23128","Quo Vadis Stichting voor Basisonderwijs","Bosanemoon","30","7422NW","DEVENTER","0150","DEVENTER","Interconfessioneel","0850435490","www.stichtingquovadis.nl","Postbus","256","7400AG","DEVENTER","41244139","744"
"23337","Vereniging voor Prot. Chr. Onderw. Rhenen","Ericalaan","30","3911XN","RHENEN","0340","RHENEN","Protestants-Christelijk","0317613985","www.ericaschool.nl","Ericalaan","30","3911XN","RHENEN","40476646","136"
"23440","Schoolvereniging 'Willemspark'","Willem Witsenstraat","12","1077AZ","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206400982","","Postjesweg","175","1062JN","AMSTERDAM","40530151","222"
"23545","Ver. tot het verstr. van b.o. op ref. grondsl. te Oosterland","Lange Dreef","8","4307AD","OOSTERLAND","1676","SCHOUWEN-DUIVELAND","Reformatorisch","0111643578","","Lange Dreef","8","4307AD","OOSTERLAND","40309375","165"
"23674","Vereniging 'een School met de Bijbel'","Gasthuisstraat","7","3958BL","AMERONGEN","1581","UTRECHTSE HEUVELRUG","Protestants-Christelijk","0343451268","www.cbswilhelmina.nl","Postbus","9","3958ZT","AMERONGEN","40478038","136"
"23883","Ver. Verstr. Kleuter/Bo op GGs te Nunspeet","F.A. Molijnlaan","69","8071AC","NUNSPEET","0302","NUNSPEET","Protestants-Christelijk","0341263402","","F.A. Molijnlaan","69","8071AC","NUNSPEET","40094342","165"
"23948","Ver t Stg Insth Sch op Geref Grondsl","Meidoornstraat","20-BG","8091JX","WEZEP","0269","OLDEBROEK","Protestants-Christelijk","","www.meidoornschool.nl","Meidoornstraat","20-BG","8091JX","WEZEP","40094177","638"
"23961","Stichting Primair Onderwijs Leudal en Thornerkwartier","In de Neerakker","2","6093JE","HEYTHUYSEN","1640","LEUDAL","Rooms-Katholiek","0475550449","www.spolt.nl","Postbus","3043","6093ZG","HEYTHUYSEN","41066900","401"
"24065","Ver. Herv. Chr. Schoolonderw. te Waspik","Brugstraat","2","5165CA","WASPIK","0867","WAALWIJK","Protestants-Christelijk","0416311379","www.cbsdebrug.nl","Brugstraat","2","5165CA","WASPIK","40271343","606"
"24195","Ver. verstr. bo op Ger. Gr.sl. te Genemuiden","Jan van Nassaustraat","3","8281ZC","GENEMUIDEN","1896","ZWARTEWATERLAND","Reformatorisch","0383854847","","Jan van Nassaustraat","3","8281ZC","GENEMUIDEN","40059813","165"
"24207","Stg. St. Martinus v. Onderwijs op Katholieke Grondslag","Prinses Beatrixstraat","2","5911BM","VENLO","0983","VENLO","Rooms-Katholiek","0773200681","","Prinses Beatrixstraat","2","5911BM","VENLO","41062320","413"
"24481","Ver. Basisond. op Reform. Grondsl. te Kootwijkerbroek","Schoonbeekhof","53","3774DA","KOOTWIJKERBROEK","0203","BARNEVELD","Reformatorisch","0342417960","","Schoonbeekhof","53","3774DA","KOOTWIJKERBROEK","40119176","165"
"24533","Ver. Chr. Nat. Schoolonderwijs te Nunspeet","Eikbosserweg","45-B","8071XA","NUNSPEET","0302","NUNSPEET","Protestants-Christelijk","0341270885","www.cnsnunspeet.net","Postbus","172","8070AD","NUNSPEET","40094225","696"
"24597","Stichting Rotterdamse Verenig. van K.O.","Stationssingel","80","3033HJ","ROTTERDAM","0599","ROTTERDAM","Rooms-Katholiek","0104537500","www.rvko.nl","Postbus","4250","3006AG","ROTTERDAM","40342002","706"
"24715","Ver. tot het verstr. van Chr. BO op Geref. Grondslag (VCOG)","Lindelaan","15","4043MA","OPHEUSDEN","1740","NEDER-BETUWE","Reformatorisch","0488441457","","Postbus","38","4043ZG","OPHEUSDEN","40156197","165"
"24844","Stichting VCO Oost Nederland","M.H. Tromplaan","47","7513AB","ENSCHEDE","0153","ENSCHEDE","Protestants-Christelijk","0534309440","www.vco-oostnederland.nl","Postbus","2393","7500CJ","ENSCHEDE","06089439","722"
"24845","Ver. tot het Verstr. van Onderw. op Geref. Grondsl.","Biezenkreek","15","3079SK","ROTTERDAM","0599","ROTTERDAM","Protestants-Christelijk","0104795226","www.petrusdatheen.nl","Postbus","9098","3007AB","ROTTERDAM","40342484","165"
"25156","Amersfoortse Schoolvereniging","Johan v Oldenbarneveltln","23","3818HA","AMERSFOORT","0307","AMERSFOORT","Algemeen bijzonder","0334613568","","Johan v Oldenbarneveltln","23","3818HA","AMERSFOORT","40506363","638"
"25196","Vereniging tot het Verstrekken Onderwijs Gereform. Grondslag","Hofje van Gratie","15","2926RD","KRIMPEN AAN DEN IJSSEL","0542","KRIMPEN AAN DEN IJSSEL","Reformatorisch","0180514318","www.sggkrimpen.nl","Hofje van Gratie","15","2926RD","KRIMPEN AAN DEN IJSSEL","40342490","165"
"25351","Stichting Keender","Holthuizerstraat","14","7482ET","HAAKSBERGEN","0158","HAAKSBERGEN","Samenwerking Opb., RK","0535723503","www.keender.nl","Postbus","35","7480AA","HAAKSBERGEN","41027060","722"
"25664","Stichting Katholiek Montessori Onderwijs Bussum","J.J.H. Verhulstlaan","13","1401CS","BUSSUM","1942","GOOISE MEREN","Rooms-Katholiek","0356911011","www.kmsbussum.nl","J.J.H. Verhulstlaan","13","1401CS","BUSSUM","41192699","706"
"25833","Vereniging voor Basisonderwijs Gereform. Grondslag te Tholen","Burg Van Boeijenstraat","6","4691DM","THOLEN","0716","THOLEN","Protestants-Christelijk","0166610961","","Postbus","34","4690AA","THOLEN","40309629","165"
"26158","Stichting Fedra","Antillenstraat","21","1944XA","BEVERWIJK","0375","BEVERWIJK","Samenwerking PC, RK","0251217101","www.fedra.nl","Postbus","1148","1940EC","BEVERWIJK","41223035","136"
"26613","Stichting Reformatorisch Onderwijs","Nassaulaan","54","2628GJ","DELFT","0503","DELFT","Reformatorisch","0152617712","","Nassaulaan","54","2628GJ","DELFT","41145423","606"
"26626","Stg. tot het Verstr. van BO op Gereformeerde Grondslag","Koerheuvelweg","1","3912AA","RHENEN","0340","RHENEN","Protestants-Christelijk","0317612659","","Koerheuvelweg","1","3912AA","RHENEN","41178932","165"
"26977","Stichting Best Onderwijs","Nassaustraat","10","5682AD","BEST","0753","BEST","Samenwerking PC, RK, Alg. Bijz","0499376120","www.bestonderwijs.nl","Postbus","275","5680AG","BEST","40235964","401"
"27067","Stichting Christ. Basisonderw. Lochem-Laren","Curieplein","21","7242KH","LOCHEM","0262","LOCHEM","Protestants-Christelijk","0573252575","www.cbs-derank.nl","Curieplein","21","7242KH","LOCHEM","08077156","744"
"27237","Ver. voor basisonderwijs op Gereformeerde grondslag Speuld","Garderenseweg","205","3852NH","ERMELO","0233","ERMELO","Protestants-Christelijk","0577407219","www.speulderbrink.nl","Garderenseweg","205","3852NH","ERMELO","40094313","165"
